program.domain.model.Process: 2 registered... {cputime=1447, ioblocking=500, cpudone=500, ionext=0, numblocked=1}
program.domain.model.Process: 2 I/O blocked... {cputime=1447, ioblocking=500, cpudone=1000, ionext=500, numblocked=1}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=450, ionext=0, numblocked=15}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=480, ionext=30, numblocked=15}
program.domain.model.Process: 2 registered... {cputime=1447, ioblocking=500, cpudone=1000, ionext=0, numblocked=2}
program.domain.model.Process: 2 completed... {cputime=1447, ioblocking=500, cpudone=1447, ionext=447, numblocked=2}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=480, ionext=0, numblocked=16}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=510, ionext=30, numblocked=16}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=510, ionext=0, numblocked=17}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=540, ionext=30, numblocked=17}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=540, ionext=0, numblocked=18}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=570, ionext=30, numblocked=18}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=570, ionext=0, numblocked=19}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=600, ionext=30, numblocked=19}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=600, ionext=0, numblocked=20}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=630, ionext=30, numblocked=20}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=630, ionext=0, numblocked=21}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=660, ionext=30, numblocked=21}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=660, ionext=0, numblocked=22}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=690, ionext=30, numblocked=22}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=690, ionext=0, numblocked=23}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=720, ionext=30, numblocked=23}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=720, ionext=0, numblocked=24}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=750, ionext=30, numblocked=24}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=750, ionext=0, numblocked=25}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=780, ionext=30, numblocked=25}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=780, ionext=0, numblocked=26}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=810, ionext=30, numblocked=26}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=810, ionext=0, numblocked=27}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=840, ionext=30, numblocked=27}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=840, ionext=0, numblocked=28}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=870, ionext=30, numblocked=28}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=870, ionext=0, numblocked=29}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=900, ionext=30, numblocked=29}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=900, ionext=0, numblocked=30}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=930, ionext=30, numblocked=30}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=930, ionext=0, numblocked=31}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=960, ionext=30, numblocked=31}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=960, ionext=0, numblocked=32}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=990, ionext=30, numblocked=32}
